fold	n_features_all_features	train_acc_all_features	train_nmi_all_features	train_roc_all_features	n_max	n_features	train_acc	train_nmi	train_roc	test_acc	test_nmi	test_roc	n_redundant	test_acc_redundant	test_nmi_redundant	test_roc_redundant
0	22681	0.6869009584664537	0.08589323114702688	0.6478917957835917	57	72	0.8498402555910544	0.38183199092683956	0.8336931673863347	0.9714285714285714	0.8394658174317846	0.975	156	0.8857142857142857	0.4942816597094184	0.875
1	22681	0.6837060702875399	0.08692319162529616	0.6339641012615359	45	51	0.8466453674121406	0.3919471505021704	0.8222631445262892	0.8	0.2781054418809477	0.7833333333333333	126	0.7714285714285715	0.21654944648759641	0.7583333333333333
2	22681	0.6485623003194888	0.04737837262852122	0.5991976351351351	22	25	0.8402555910543131	0.3605333748712298	0.8227407094594594	0.8	0.261620684655778	0.7857142857142858	140	0.8571428571428571	0.497715050482637	0.8214285714285714
3	22681	0.6677316293929713	0.06657009041167945	0.6238386824324325	28	51	0.8498402555910544	0.3847745914608044	0.8332559121621622	0.8	0.2928541657947418	0.7619047619047619	126	0.8	0.2928541657947418	0.7619047619047619
4	22681	0.6389776357827476	0.03823628392606734	0.5922930743243243	174	72	0.8626198083067093	0.4264634354236881	0.8440667229729729	0.7428571428571429	0.1685581123008155	0.7380952380952381	240	0.7142857142857143	0.1250431121817032	0.6666666666666667
5	22681	0.6517571884984026	0.049733227872472405	0.6091216216216216	36	72	0.8562300319488818	0.40775759615212354	0.8374577702702702	0.9142857142857143	0.640147336249585	0.8928571428571428	126	0.8857142857142857	0.48667556618906943	0.869047619047619
6	22681	0.6325878594249201	0.033021337066594124	0.5868876689189189	51	45	0.8466453674121406	0.3772809789051729	0.8293496621621621	0.7714285714285715	0.21033246945843115	0.761904761904762	72	0.7428571428571429	0.1603654208775168	0.7261904761904762
7	22681	0.6549520766773163	0.052988460999543074	0.610620777027027	17	25	0.8466453674121406	0.3772809789051729	0.8293496621621621	0.7428571428571429	0.15940409165526698	0.7142857142857144	216	0.7142857142857143	0.11789826217989438	0.6785714285714286
8	22681	0.6942675159235668	0.096535632890771	0.6554519489247311	40	64	0.8535031847133758	0.3979717683547044	0.834929435483871	0.8529411764705882	0.4931455340131322	0.8214285714285714	126	0.7647058823529411	0.32322313331679714	0.7142857142857143
9	22681	0.6847133757961783	0.08503556872783606	0.6437331989247311	45	64	0.8439490445859873	0.37902866848056604	0.8219926075268817	0.8529411764705882	0.38733090680561266	0.8428571428571427	156	0.8235294117647058	0.3190924144658311	0.8071428571428572
